Species,Family,Habit,Plant ID,Windspeed,Run Time,Leaf Area_1side,Frictional Force (T),Frictional Force (B),T91(g),T42(g),PTFE(g),T91(ug),T42(ug),PTFE(ug),SLA,PM2.5(ug),PM10(ug),PM32(ug),DV_PM32,DV_PM10,DV_PM2.5,CP_PM32,CP_PM10,CP_PM2.5,Hairiness(T),Hairiness(B),Avg_Leaf_Size,Leaf_Area_2side
Muntingia calabura ,Muntingiaceae,Tree,Muntca 3,2.2,900,443.6213,1.49314,1.42417,0.00283,0.00096,0.0013,2830,960,1300,233.1780815,63.80033113,5.528543046,0.164900662,0.021492114,0.000217458,2.55E-05,0.009769143,9.88E-05,1.16E-05,128163.5501,290042.9544,31.68723801,887.2426
Piper aduncum,Piperaceae,Tree/Shrub,Pipead 1,2.2,900,653.8019,1.47136,1.43869,0.00491,0.00059,0.00026,4910,590,260,298.5533129,79.41086093,11.72317881,11.18417219,0.000373043,4.28E-05,2.78E-06,0.000169565,1.94E-05,1.26E-06,18981.70871,116359.4526,81.72523925,1307.6038
Piper aduncum,Piperaceae,Tree/Shrub,Pipead 2,2.2,900,622.1588,1.36851,1.51008,0.00456,0.00079,0.00044,4560,790,440,373.1311023,60.37655629,11.52390728,2.905099338,0.001401619,6.12E-05,6.51E-06,0.0006371,2.78E-05,2.96E-06,18981.70871,116359.4526,77.76985292,1244.3176
Piper aduncum,Piperaceae,Tree/Shrub,Pipead 3,2.2,900,599.6323,1.32253,1.42901,0.00466,0.00096,0.00064,4660,960,640,301.8384677,68.90801325,11.68774834,3.249072848,0.001328829,7.61E-05,8.61E-06,0.000604013,3.46E-05,3.91E-06,18981.70871,116359.4526,74.9540342,1199.2646
Spathodea campanulata ,Bignoniaceae,Tree,Spatca 1,2.2,900,624.7054,1.34915,1.36367,0.00212,0.00054,0.00027,2120,540,270,213.093669,65.28543046,4.617748344,0.164900662,0.011433145,0.000103996,3.68E-06,0.005196884,4.73E-05,1.67E-06,8015.922237,13420.70098,62.47054132,1249.4108
Spathodea campanulata ,Bignoniaceae,Tree,Spatca 2,2.2,900,698.7428,1.39755,1.4762,0.0023,0.00078,0.00038,2300,780,380,188.508053,73.90013245,4.973509934,0.413377483,0.004423756,0.000124693,4.09E-06,0.002010798,5.67E-05,1.86E-06,8015.922237,13420.70098,69.87428274,1397.4856
Spathodea campanulata ,Bignoniaceae,Tree,Spatca 3,2.2,900,629.9772,1.50282,1.5609,0.00104,0.00083,0.00035,1040,830,350,208.8853079,58.97728477,9.929139073,3.305364238,0.00027747,7.37E-05,5.23E-06,0.000126123,3.35E-05,2.38E-06,8015.922237,13420.70098,62.99772306,1259.9544
Strobilanthes crispa,Acanthaceae,Shrub,Strocr 1,2.2,900,763.4059,1.40844,1.41086,0.00416,0.00089,0.00111,4160,890,1110,199.5258618,61.52066225,6.374172185,0.329801325,0.009179371,0.00010161,1.31E-05,0.004172441,4.62E-05,5.97E-06,25337.86826,7185.44615,63.61715432,1526.8118
Strobilanthes crispa,Acanthaceae,Shrub,Strocr 2,2.2,900,565.2218,1.50524,1.4883,0.00398,0.00095,0.00076,3980,950,760,136.7251572,61.52662252,9.184437086,0.824503311,0.004744596,0.000101667,1.21E-05,0.002156635,4.62E-05,5.52E-06,25337.86826,7185.44615,70.65272562,1130.4436
Strobilanthes crispa,Acanthaceae,Shrub,Strocr 3,2.2,900,628.135,1.4399,1.48225,0.00466,0.00099,0.00047,4660,990,470,164.2655404,59.20403974,16.84966887,3.725364238,0.001106348,5.20E-05,7.02E-06,0.000502885,2.36E-05,3.19E-06,25337.86826,7185.44615,89.73357315,1256.27
Syzygium myrtifolium ,Myrtaceae,Tree,Syzymy 1,2.2,900,398.7862,1.26082,1.07327,0.00194,0.00053,0.00022,1940,530,220,115.4195826,62.67006623,66.74437086,30.11635762,8.97E-05,1.11E-05,4.89E-06,4.08E-05,5.03E-06,2.22E-06,0,0,10.77800414,797.5724
Syzygium myrtifolium ,Myrtaceae,Tree,Syzymy 2,2.2,900,378.324,1.30317,1.04544,0.00106,0.00052,0.00014,1060,520,140,125.5430562,60.6192053,35.58377483,12.22211921,0.000127357,2.15E-05,3.39E-06,5.79E-05,9.75E-06,1.54E-06,0,0,11.46436496,756.648
Syzygium myrtifolium ,Myrtaceae,Tree,Syzymy 3,2.2,900,440.9755,1.34189,1.14466,0.00146,0.00053,0.00026,1460,530,260,144.2321908,57.92006623,6.640463576,2.647549669,0.000694739,0.000100552,5.66E-06,0.000315791,4.57E-05,2.57E-06,0,0,13.78048534,881.951
Timonius wallichianus ,Rubiaceae,Tree,Timowa 1,2.2,900,653.9395,1.45079,1.32616,0.00532,0.00119,0.00056,5320,1190,560,280.1557279,79.69980132,8.675496689,0.975033113,0.004635346,0.000116531,5.97E-06,0.002106976,5.30E-05,2.71E-06,80871.87131,583943.8613,72.65994979,1307.879
Timonius wallichianus ,Rubiaceae,Tree,Timowa 2,2.2,900,504.3105,1.47741,1.452,0.00532,0.00115,0.00056,5320,1150,560,283.8307632,74.67152318,8.548013245,1.222384106,0.004794391,0.000148205,8.26E-06,0.002179269,6.74E-05,3.76E-06,80871.87131,583943.8613,84.05174296,1008.621
Timonius wallichianus ,Rubiaceae,Tree,Timowa 3,2.2,900,569.6748,1.42538,1.46894,0.00467,0.00127,0.00045,4670,1270,450,272.3501458,74.27350993,10.27774834,19.38384106,0.000234951,0.000120505,5.91E-06,0.000106796,5.48E-05,2.69E-06,80871.87131,583943.8613,56.96748427,1139.3496
Vitex pinnata,Lamiaceae,Tree,Vitepi 1,2.2,900,636.2187,1.44111,1.39271,0.00339,0.00095,0.00034,3390,950,340,204.8947538,79.92377483,17.72854305,1.699006623,0.001742311,4.68E-05,3.71E-06,0.00079196,2.13E-05,1.69E-06,18758.95099,24336.61852,63.62187234,1272.4374
Vitex pinnata,Lamiaceae,Tree,Vitepi 2,2.2,900,464.1171,1.52702,1.40481,0.00208,0.00075,4.00E-05,2080,750,40,167.2795459,83.47377483,12.64788079,3.088410596,0.000806173,7.10E-05,5.74E-07,0.000366442,3.23E-05,2.61E-07,18758.95099,24336.61852,46.41170616,928.2342
Vitex pinnata,Lamiaceae,Tree,Vitepi 3,2.2,900,456.3898,1.27534,1.44474,0.00199,0.00078,0.00019,1990,780,190,177.0874593,75.47291391,13.62350993,3.468013245,0.000698496,6.97E-05,3.06E-06,0.000317498,3.17E-05,1.39E-06,18758.95099,24336.61852,35.10691054,912.7796
